iso_code,location,max_vax_pct,max_fully_pct,n_vax_days,wgm_year,wgm_agree_safe,wgm_hesitant_safe,wgm_disagree_safe,wgm_disagree_effective,wgm_2019_agree,wgm_2019_hesitant,wgm_2023_agree,wgm_2023_hesitant,dtp3_2019,gdp_2019,log_gdp,hesitancy_change
MOZ,Mozambique,69.37,64.7,848,,,,,,,,,,85.0,,,
MRT,Mauritania,44.42,32.53,969,2016.0,90.0,10.0,7.0,3.0,,,,,80.0,,,
MSR,Montserrat,47.68,44.23,677,,,,,,,,,,,,,
MUS,Mauritius,86.48,83.74,917,,,,,,,,,,96.0,,,
MWI,Malawi,26.63,21.01,922,2020.0,88.0,12.0,9.0,7.0,,,,,95.0,,,
MYS,Malaysia,82.91,81.18,1268,2024.0,83.0,17.0,15.999999,11.0,78.960396,21.039603999999997,74.0,26.0,98.0,,,4.960396000000003
NAM,Namibia,24.53,21.46,970,,,,,,,,,,87.0,,,
NCL,New Caledonia,66.35,63.74,827,,,,,,,,,,,,,
NER,Niger,23.84,20.92,855,2024.0,95.0,5.0,4.0,3.0,,,92.1254,7.874600000000001,81.0,,,
NGA,Nigeria,42.93,37.2,977,2024.0,88.523605,11.476394999999997,9.984263,11.0,93.0,7.0,88.523605,11.476394999999997,66.0,,,4.476394999999997
NIC,Nicaragua,92.17,88.17,894,,,,,,,,,,,,,
NIU,Niue,83.91,83.76,622,,,,,,,,,,99.0,,,
NLD,Netherlands,71.64,67.0,995,2023.0,70.0,30.0,24.0,21.0,,,70.0,30.0,94.0,,,
NOR,Norway,79.99,74.61,712,2023.0,79.0,21.0,15.0,12.0,,,79.0,21.0,97.0,,,
NPL,Nepal,91.28,80.11,1032,,,,,,,,,,93.0,,,
NRU,Nauru,103.27,89.4,684,,,,,,,,,,96.0,,,
NZL,New Zealand,82.97,82.77,1275,2023.0,75.0,25.0,18.0,16.0,,,75.0,25.0,92.0,,,
OMN,Oman,71.67,66.62,667,,,,,,,,,,99.0,,,
OWID_ENG,England,80.31,75.95,912,,,,,,,,,,,,,
OWID_NIR,Northern Ireland,75.46,71.78,913,,,,,,,,,,,,,
OWID_SCT,Scotland,83.23,78.41,610,,,,,,,,,,,,,
PAK,Pakistan,70.21,59.57,1016,2023.0,81.0,19.0,15.0,16.0,85.3,14.700000000000003,81.0,19.0,84.0,,,4.299999999999997
PAN,Panama,80.15,72.0,843,2015.0,91.0,9.0,7.0,5.0,,,,,88.0,,,
PCN,Pitcairn,100.0,100.0,441,,,,,,,,,,,,,
PER,Peru,89.76,84.32,1035,2022.0,87.0,13.0,9.0,8.0,89.8,10.200000000000003,,,88.0,,,
PHL,Philippines,71.55,67.88,750,2024.0,92.0,8.0,7.0,4.0,87.9,12.099999999999994,82.0,18.0,84.0,,,5.900000000000006
PNG,Papua New Guinea,3.77,3.17,763,2022.0,83.0,17.0,17.0,46.0,,,,,35.0,,,
POL,Poland,57.4,56.83,1048,2023.0,68.0,32.0,23.0,20.0,85.82677,14.173230000000004,68.0,32.0,95.0,,,17.826769999999996
PRT,Portugal,95.62,86.75,1002,2023.0,84.0,16.0,12.0,12.0,,,84.0,16.0,99.0,,,
PRY,Paraguay,58.9,52.31,810,,,,,,,,,,86.0,,,
PSE,Palestine,38.34,33.85,568,2015.0,88.0,12.0,10.0,11.0,,,,,99.0,,,
PYF,French Polynesia,62.33,60.99,819,,,,,,,,,,,,,
QAT,Qatar,105.83,105.83,867,2023.0,80.0,20.0,17.0,13.0,,,80.0,20.0,98.0,,,
ROU,Romania,41.65,41.28,1092,2023.0,58.0,42.0,33.0,28.0,86.62675,13.373249999999999,58.0,42.0,88.0,,,28.62675
RUS,Russia,61.56,55.08,1017,2025.0,62.0,38.0,35.0,27.0,67.13333,32.86667,57.0,43.0,97.0,,,10.13333
RWA,Rwanda,79.01,75.49,840,,,,,,,,,,98.0,,,
SAU,Saudi Arabia,74.27,69.86,840,2023.0,81.0,19.0,14.0,11.0,,,81.0,19.0,96.0,,,
SDN,Sudan,32.44,28.62,754,2024.0,82.0,18.0,16.0,13.0,,,82.0,18.0,93.0,,,
SEN,Senegal,15.5,8.93,994,2024.0,86.16269,13.837310000000002,10.607649,8.14832,,,61.000652,38.999348,91.0,,,
SGP,Singapore,91.55,90.85,763,2024.0,86.0,14.0,12.0,10.0,,,,,97.0,,,
SHN,Saint Helena,80.74,65.38,92,,,,,,,,,,,,,
SLB,Solomon Islands,47.47,35.12,588,2022.0,70.0,30.0,29.0,27.0,,,,,94.0,,,
SLE,Sierra Leone,65.96,57.66,869,2023.0,88.0,12.0,8.0,14.0,,,88.0,12.0,95.0,,,
SLV,El Salvador,73.43,68.56,593,,,,,,,,,,96.0,,,
SMR,San Marino,78.23,70.15,450,,,,,,,,,,88.0,,,
SOM,Somalia,50.99,43.57,830,2024.0,94.0,6.0,7.0,4.0,,,85.0,15.0,57.0,,,
